"Q3";"Q9";"Q16_Part_1";"Q16_Part_2"
"United States of America";"0-10,000";"Python";"R"
"South Korea";"90-100,000";"Python";""
"Switzerland";"90-100,000";"Python";""
"China";"0-10,000";"Python";""
"United States of America";"50-60,000";"Python";""
"Republic of Korea";"50-60,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Viet Nam";"30-40,000";"";""
"Australia";"30-40,000";"Python";""
"United States of America";"100-125,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Republic of Korea";"40-50,000";"Python";""
"Turkey";"0-10,000";"Python";""
"Other";"10-20,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"United States of America";"0-10,000";"Python";""
"Canada";"";"Python";""
"Hong Kong (S.A.R.)";"30-40,000";"Python";""
"Peru";"";"Python";""
"United States of America";"250-300,000";"Python";"R"
"Canada";"90-100,000";"";"R"
"Indonesia";"10-20,000";"";""
"United States of America";"80-90,000";"Python";""
"United States of America";"";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Argentina";"100-125,000";"Python";""
"Colombia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Canada";"40-50,000";"";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"100-125,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Russia";"0-10,000";"Python";""
"Japan";"40-50,000";"Python";""
"Canada";"";"Python";""
"Netherlands";"0-10,000";"";""
"United States of America";"100-125,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"60-70,000";"Python";""
"India";"100-125,000";"Python";"R"
"France";"60-70,000";"Python";"R"
"South Korea";"0-10,000";"Python";"R"
"Japan";"50-60,000";"Python";"R"
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"Australia";"80-90,000";"Python";""
"Brazil";"0-10,000";"Python";"R"
"United States of America";"200-250,000";"Python";"R"
"Australia";"40-50,000";"Python";"R"
"United States of America";"90-100,000";"Python";"R"
"Peru";"10-20,000";"Python";""
"United States of America";"40-50,000";"";""
"Australia";"150-200,000";"";"R"
"United States of America";"70-80,000";"Python";"R"
"United Kingdom of Great Britain and Northern Ireland";"";"Python";""
"Ukraine";"50-60,000";"";""
"Japan";"100-125,000";"Python";"R"
"Japan";"30-40,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Japan";"40-50,000";"Python";"R"
"India";"0-10,000";"Python";""
"United States of America";"0-10,000";"";"R"
"Japan";"50-60,000";"";"R"
"United States of America";"0-10,000";"";""
"Russia";"";"";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"Turkey";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"60-70,000";"";""
"Malaysia";"20-30,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"0-10,000";"Python";""
"Republic of Korea";"20-30,000";"Python";""
"United States of America";"60-70,000";"Python";""
"Australia";"90-100,000";"";"R"
"Egypt";"0-10,000";"";""
"Brazil";"40-50,000";"";""
"Brazil";"0-10,000";"Python";""
"Australia";"70-80,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"South Korea";"60-70,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Brazil";"20-30,000";"Python";"R"
"Singapore";"20-30,000";"";""
"Ukraine";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"20-30,000";"Python";"R"
"Poland";"40-50,000";"Python";""
"Brazil";"0-10,000";"Python";"R"
"United States of America";"30-40,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"10-20,000";"Python";"R"
"United States of America";"200-250,000";"Python";""
"Australia";"";"Python";"R"
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"90-100,000";"";""
"Canada";"70-80,000";"Python";""
"United States of America";"125-150,000";"";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"100-125,000";"Python";""
"Canada";"80-90,000";"Python";""
"Australia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"0-10,000";"Python";"R"
"United States of America";"";"Python";"R"
"Japan";"0-10,000";"Python";"R"
"Portugal";"30-40,000";"";"R"
"United States of America";"80-90,000";"";"R"
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"400-500,000";"Python";"R"
"Canada";"90-100,000";"Python";"R"
"India";"30-40,000";"Python";"R"
"United States of America";"80-90,000";"";""
"Australia";"20-30,000";"Python";""
"United Kingdom of Great Britain and Northern Ireland";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"100-125,000";"";""
"United States of America";"60-70,000";"Python";"R"
"United States of America";"50-60,000";"";""
"United States of America";"10-20,000";"";"R"
"Mexico";"20-30,000";"Python";""
"United States of America";"50-60,000";"";""
"United States of America";"125-150,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"New Zealand";"40-50,000";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"30-40,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"Japan";"90-100,000";"";""
"Canada";"50-60,000";"Python";""
"Japan";"125-150,000";"";"R"
"United States of America";"125-150,000";"Python";"R"
"Indonesia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Ukraine";"60-70,000";"Python";""
"Indonesia";"0-10,000";"";""
"South Korea";"60-70,000";"Python";""
"United States of America";"20-30,000";"Python";"R"
"Canada";"90-100,000";"Python";""
"Malaysia";"";"";""
"China";"0-10,000";"Python";""
"United States of America";"70-80,000";"Python";""
"Canada";"70-80,000";"Python";""
"United States of America";"70-80,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"New Zealand";"80-90,000";"";""
"New Zealand";"";"";""
"United States of America";"60-70,000";"";""
"United States of America";"20-30,000";"Python";""
"Argentina";"0-10,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Other";"10-20,000";"";"R"
"Australia";"0-10,000";"Python";"R"
"Portugal";"20-30,000";"";"R"
"Colombia";"0-10,000";"";"R"
"United States of America";"100-125,000";"Python";""
"Netherlands";"";"Python";""
"Japan";"0-10,000";"Python";""
"United States of America";"100-125,000";"Python";""
"Brazil";"10-20,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"China";"";"Python";""
"United States of America";"150-200,000";"Python";"R"
"United States of America";"10-20,000";"Python";""
"United States of America";"";"Python";"R"
"Nigeria";"0-10,000";"Python";"R"
"Indonesia";"";"Python";""
"United States of America";"70-80,000";"";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Malaysia";"30-40,000";"";""
"Indonesia";"0-10,000";"Python";""
"Morocco";"0-10,000";"Python";""
"Australia";"100-125,000";"Python";""
"United States of America";"";"Python";""
"Singapore";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"40-50,000";"Python";""
"Brazil";"10-20,000";"";"R"
"Chile";"20-30,000";"Python";""
"Singapore";"40-50,000";"";"R"
"Russia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"200-250,000";"Python";"R"
"United States of America";"0-10,000";"Python";"R"
"Republic of Korea";"60-70,000";"Python";""
"Australia";"125-150,000";"Python";"R"
"Other";"10-20,000";"Python";"R"
"Japan";"";"";"R"
"China";"0-10,000";"Python";""
"United States of America";"0-10,000";"";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"50-60,000";"";""
"Brazil";"30-40,000";"Python";"R"
"Morocco";"10-20,000";"Python";"R"
"Australia";"70-80,000";"Python";"R"
"United States of America";"60-70,000";"Python";"R"
"Australia";"200-250,000";"Python";"R"
"Australia";"60-70,000";"Python";""
"Indonesia";"0-10,000";"Python";""
"Australia";"90-100,000";"Python";""
"China";"10-20,000";"Python";"R"
"United States of America";"10-20,000";"Python";"R"
"Australia";"100-125,000";"Python";""
"South Korea";"0-10,000";"Python";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Germany";"10-20,000";"Python";""
"Brazil";"";"Python";"R"
"Canada";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Hong Kong (S.A.R.)";"40-50,000";"Python";""
"United States of America";"100-125,000";"";""
"Malaysia";"20-30,000";"Python";""
"Japan";"70-80,000";"Python";""
"United States of America";"150-200,000";"Python";""
"United States of America";"30-40,000";"";""
"Canada";"60-70,000";"Python";""
"United States of America";"";"Python";"R"
"United States of America";"40-50,000";"Python";"R"
"Brazil";"10-20,000";"Python";"R"
"Australia";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"10-20,000";"";"R"
"China";"50-60,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"150-200,000";"Python";"R"
"Australia";"80-90,000";"Python";""
"Other";"10-20,000";"Python";""
"United States of America";"";"Python";""
"Viet Nam";"0-10,000";"";""
"Other";"10-20,000";"Python";""
"Singapore";"50-60,000";"";"R"
"Hong Kong (S.A.R.)";"60-70,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"New Zealand";"";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Singapore";"50-60,000";"Python";""
"Japan";"60-70,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"20-30,000";"Python";""
"India";"20-30,000";"Python";""
"Canada";"100-125,000";"Python";""
"Nigeria";"0-10,000";"Python";""
"I do not wish to disclose my location";"50-60,000";"Python";""
"Other";"10-20,000";"Python";"R"
"United States of America";"70-80,000";"";"R"
"Brazil";"0-10,000";"Python";""
"United States of America";"";"Python";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Indonesia";"";"Python";""
"South Korea";"80-90,000";"Python";""
"Canada";"0-10,000";"Python";"R"
"Canada";"100-125,000";"";""
"Thailand";"";"";""
"China";"0-10,000";"";""
"United States of America";"";"Python";""
"Japan";"70-80,000";"Python";""
"Viet Nam";"0-10,000";"Python";"R"
"Japan";"60-70,000";"Python";""
"China";"0-10,000";"Python";""
"Other";"0-10,000";"Python";""
"United States of America";"70-80,000";"";"R"
"Netherlands";"30-40,000";"Python";"R"
"Australia";"70-80,000";"Python";"R"
"India";"10-20,000";"";""
"India";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Japan";"30-40,000";"Python";"R"
"United States of America";"30-40,000";"Python";"R"
"United States of America";"0-10,000";"Python";""
"United States of America";"60-70,000";"";"R"
"Indonesia";"0-10,000";"Python";""
"Indonesia";"0-10,000";"Python";""
"United States of America";"150-200,000";"Python";""
"China";"0-10,000";"Python";"R"
"New Zealand";"30-40,000";"";""
"United States of America";"100-125,000";"Python";""
"United States of America";"125-150,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"10-20,000";"Python";""
"United States of America";"80-90,000";"Python";""
"South Korea";"0-10,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"60-70,000";"Python";"R"
"United States of America";"125-150,000";"";""
"United States of America";"0-10,000";"Python";"R"
"Other";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Colombia";"10-20,000";"Python";""
"Germany";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Other";"0-10,000";"Python";""
"Viet Nam";"10-20,000";"Python";""
"United States of America";"0-10,000";"Python";""
"Australia";"70-80,000";"Python";""
"Brazil";"10-20,000";"Python";""
"Singapore";"40-50,000";"Python";""
"China";"30-40,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"90-100,000";"";"R"
"Other";"100-125,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"100-125,000";"";"R"
"Japan";"50-60,000";"Python";"R"
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"20-30,000";"";"R"
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"30-40,000";"Python";""
"Viet Nam";"0-10,000";"Python";""
"India";"10-20,000";"Python";"R"
"South Korea";"30-40,000";"";""
"United States of America";"60-70,000";"Python";"R"
"Hong Kong (S.A.R.)";"125-150,000";"";""
"China";"I do not wish to disclose my approximate yearly compensation";"";""
"Canada";"30-40,000";"Python";""
"United States of America";"60-70,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"I do not wish to disclose my location";"20-30,000";"Python";""
"Hong Kong (S.A.R.)";"70-80,000";"Python";"R"
"Singapore";"20-30,000";"Python";"R"
"Japan";"50-60,000";"Python";""
"Portugal";"0-10,000";"";""
"United States of America";"10-20,000";"Python";"R"
"United States of America";"30-40,000";"Python";"R"
"Singapore";"40-50,000";"Python";"R"
"China";"0-10,000";"Python";""
"Colombia";"0-10,000";"Python";""
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";""
"India";"0-10,000";"Python";""
"Hong Kong (S.A.R.)";"150-200,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"Malaysia";"30-40,000";"Python";"R"
"China";"30-40,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"Brazil";"20-30,000";"Python";""
"United States of America";"80-90,000";"Python";""
"Republic of Korea";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"";"R"
"United States of America";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"90-100,000";"";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Canada";"60-70,000";"Python";"R"
"Iran, Islamic Republic of...";"0-10,000";"Python";"R"
"Canada";"10-20,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Canada";"70-80,000";"Python";""
"Australia";"100-125,000";"Python";""
"Indonesia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"50-60,000";"Python";""
"United States of America";"150-200,000";"Python";""
"China";"0-10,000";"Python";"R"
"United States of America";"100-125,000";"Python";"R"
"United States of America";"0-10,000";"Python";""
"Viet Nam";"0-10,000";"Python";""
"Indonesia";"0-10,000";"Python";""
"Viet Nam";"0-10,000";"Python";""
"Singapore";"30-40,000";"Python";""
"Viet Nam";"0-10,000";"Python";""
"United States of America";"250-300,000";"Python";""
"Republic of Korea";"70-80,000";"Python";""
"Indonesia";"90-100,000";"";""
"Philippines";"10-20,000";"";"R"
"United Kingdom of Great Britain and Northern Ireland";"30-40,000";"";"R"
"United States of America";"80-90,000";"";""
"Viet Nam";"I do not wish to disclose my approximate yearly compensation";"";""
"United States of America";"125-150,000";"Python";"R"
"Brazil";"125-150,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Brazil";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"I do not wish to disclose my location";"0-10,000";"Python";""
"Australia";"I do not wish to disclose my approximate yearly compensation";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Japan";"40-50,000";"";"R"
"United States of America";"60-70,000";"";""
"Viet Nam";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"150-200,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"100-125,000";"Python";""
"India";"0-10,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"United States of America";"70-80,000";"Python";""
"United States of America";"80-90,000";"";"R"
"Mexico";"0-10,000";"Python";"R"
"Australia";"90-100,000";"Python";""
"United States of America";"90-100,000";"Python";""
"United States of America";"80-90,000";"Python";""
"Japan";"50-60,000";"Python";""
"Japan";"60-70,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Japan";"60-70,000";"Python";""
"Australia";"0-10,000";"Python";""
"Mexico";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"90-100,000";"Python";""
"United States of America";"60-70,000";"Python";""
"China";"70-80,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Japan";"50-60,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"Colombia";"10-20,000";"";""
"United States of America";"100-125,000";"Python";""
"Canada";"70-80,000";"Python";""
"Viet Nam";"10-20,000";"Python";""
"Japan";"70-80,000";"Python";""
"Russia";"0-10,000";"Python";""
"Brazil";"0-10,000";"Python";""
"Philippines";"";"";"R"
"United States of America";"70-80,000";"Python";"R"
"United States of America";"50-60,000";"Python";""
"Thailand";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"150-200,000";"Python";""
"China";"10-20,000";"Python";""
"India";"0-10,000";"Python";""
"Hong Kong (S.A.R.)";"30-40,000";"Python";"R"
"China";"30-40,000";"Python";""
"South Korea";"10-20,000";"";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Viet Nam";"0-10,000";"Python";"R"
"Argentina";"20-30,000";"";""
"Viet Nam";"10-20,000";"Python";""
"Canada";"40-50,000";"Python";"R"
"Japan";"70-80,000";"Python";""
"Brazil";"10-20,000";"Python";""
"South Korea";"20-30,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"Greece";"0-10,000";"Python";""
"United States of America";"80-90,000";"Python";"R"
"United States of America";"";"";"R"
"Brazil";"40-50,000";"Python";""
"South Korea";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Malaysia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"30-40,000";"";"R"
"Argentina";"10-20,000";"";""
"United States of America";"100-125,000";"Python";""
"United States of America";"50-60,000";"Python";"R"
"United States of America";"60-70,000";"";"R"
"United States of America";"80-90,000";"Python";"R"
"United States of America";"150-200,000";"";""
"United States of America";"100-125,000";"Python";""
"Thailand";"10-20,000";"Python";""
"I do not wish to disclose my location";"30-40,000";"Python";""
"Japan";"150-200,000";"Python";"R"
"Colombia";"0-10,000";"Python";"R"
"United States of America";"150-200,000";"Python";"R"
"China";"30-40,000";"Python";""
"United States of America";"30-40,000";"Python";"R"
"United States of America";"40-50,000";"";""
"United States of America";"100-125,000";"Python";""
"Pakistan";"10-20,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Viet Nam";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"";""
"I do not wish to disclose my location";"20-30,000";"Python";""
"Japan";"";"Python";""
"Brazil";"20-30,000";"Python";""
"Hong Kong (S.A.R.)";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Malaysia";"20-30,000";"Python";"R"
"I do not wish to disclose my location";"0-10,000";"Python";""
"Japan";"30-40,000";"Python";"R"
"Philippines";"0-10,000";"Python";""
"Canada";"40-50,000";"Python";""
"United States of America";"125-150,000";"Python";""
"Australia";"60-70,000";"";"R"
"Philippines";"0-10,000";"";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"30-40,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"United States of America";"70-80,000";"";""
"Japan";"0-10,000";"Python";""
"Other";"";"Python";"R"
"United States of America";"125-150,000";"Python";""
"United States of America";"40-50,000";"";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Thailand";"20-30,000";"Python";"R"
"France";"10-20,000";"Python";""
"I do not wish to disclose my location";"250-300,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Brazil";"10-20,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"United States of America";"";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";""
"United States of America";"60-70,000";"Python";"R"
"China";"0-10,000";"Python";""
"United States of America";"30-40,000";"";""
"United States of America";"100-125,000";"";""
"Indonesia";"I do not wish to disclose my approximate yearly compensation";"Python";""
"I do not wish to disclose my location";"0-10,000";"Python";"R"
"Viet Nam";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Other";"10-20,000";"Python";""
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"50-60,000";"";""
"India";"80-90,000";"Python";""
"Thailand";"10-20,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Malaysia";"I do not wish to disclose my approximate yearly compensation";"";""
"Australia";"60-70,000";"Python";"R"
"Australia";"70-80,000";"Python";""
"Bangladesh";"";"Python";"R"
"Indonesia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"";"Python";"R"
"Pakistan";"";"Python";""
"Brazil";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";"R"
"Viet Nam";"0-10,000";"Python";""
"Hong Kong (S.A.R.)";"90-100,000";"Python";""
"Nigeria";"0-10,000";"";""
"Brazil";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Indonesia";"0-10,000";"Python";""
"United States of America";"90-100,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"United States of America";"90-100,000";"Python";""
"Canada";"70-80,000";"Python";""
"Australia";"150-200,000";"Python";""
"United States of America";"100-125,000";"";"R"
"United States of America";"20-30,000";"Python";""
"India";"";"Python";""
"Other";"20-30,000";"";""
"Other";"0-10,000";"Python";"R"
"China";"10-20,000";"";"R"
"Japan";"60-70,000";"Python";""
"Mexico";"50-60,000";"Python";"R"
"Mexico";"20-30,000";"Python";""
"United States of America";"40-50,000";"Python";"R"
"Australia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"India";"0-10,000";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"70-80,000";"Python";"R"
"United States of America";"150-200,000";"Python";"R"
"Japan";"40-50,000";"Python";"R"
"United States of America";"80-90,000";"Python";""
"United States of America";"125-150,000";"Python";""
"South Korea";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Greece";"10-20,000";"";"R"
"Germany";"10-20,000";"Python";""
"United States of America";"150-200,000";"Python";""
"India";"20-30,000";"Python";""
"Iran, Islamic Republic of...";"0-10,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Australia";"60-70,000";"Python";"R"
"United States of America";"125-150,000";"Python";""
"Argentina";"30-40,000";"Python";""
"Singapore";"30-40,000";"";""
"United States of America";"150-200,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"150-200,000";"Python";"R"
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"Python";"R"
"Indonesia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"United States of America";"10-20,000";"Python";"R"
"I do not wish to disclose my location";"";"Python";"R"
"Mexico";"0-10,000";"Python";"R"
"Singapore";"";"Python";""
"Viet Nam";"50-60,000";"Python";""
"United States of America";"125-150,000";"Python";""
"South Korea";"";"Python";""
"Germany";"40-50,000";"";""
"United States of America";"200-250,000";"Python";"R"
"I do not wish to disclose my location";"20-30,000";"";"R"
"Australia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Indonesia";"10-20,000";"Python";"R"
"Singapore";"20-30,000";"Python";""
"South Africa";"50-60,000";"Python";""
"Chile";"10-20,000";"";""
"United States of America";"0-10,000";"Python";""
"India";"20-30,000";"Python";"R"
"United States of America";"";"";"R"
"United States of America";"150-200,000";"Python";""
"United States of America";"200-250,000";"Python";""
"United States of America";"20-30,000";"Python";""
"Brazil";"50-60,000";"Python";"R"
"Russia";"20-30,000";"Python";""
"Russia";"20-30,000";"Python";""
"United States of America";"100-125,000";"Python";""
"India";"0-10,000";"Python";"R"
"Russia";"10-20,000";"Python";""
"United States of America";"I do not wish to disclose my approximate yearly compensation";"Python";""
"I do not wish to disclose my location";"10-20,000";"Python";""
"Viet Nam";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"40-50,000";"";"R"
"Pakistan";"0-10,000";"Python";""
"Malaysia";"0-10,000";"";"R"
"United States of America";"100-125,000";"Python";""
"United States of America";"0-10,000";"Python";"R"
"India";"";"Python";""
"China";"I do not wish to disclose my approximate yearly compensation";"Python";""
"Other";"0-10,000";"Python";"R"
"United States of America";"90-100,000";"";""
"Japan";"30-40,000";"Python";""
"Singapore";"0-10,000";"Python";"R"
"United States of America";"20-30,000";"";"R"
"United States of America";"200-250,000";"Python";""
"Malaysia";"10-20,000";"Python";""
"India";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Canada";"20-30,000";"Python";""
"Australia";"125-150,000";"Python";""
"United States of America";"250-300,000";"Python";""
"Japan";"70-80,000";"";""
"Philippines";"10-20,000";"Python";"R"
"South Africa";"20-30,000";"Python";"R"
"United States of America";"150-200,000";"Python";""
"Indonesia";"250-300,000";"";"R"
"United States of America";"90-100,000";"Python";"R"
"United States of America";"90-100,000";"Python";""
"India";"0-10,000";"";"R"
"United States of America";"150-200,000";"Python";"R"
"India";"50-60,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"Singapore";"0-10,000";"Python";""
"United States of America";"150-200,000";"Python";"R"
"Japan";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"100-125,000";"";""
"Australia";"100-125,000";"Python";"R"
"United States of America";"300-400,000";"Python";"R"
"France";"50-60,000";"Python";"R"
"United States of America";"100-125,000";"Python";""
"Viet Nam";"I do not wish to disclose my approximate yearly compensation";"Python";""
"I do not wish to disclose my location";"70-80,000";"Python";""
"Hong Kong (S.A.R.)";"";"Python";""
"Canada";"70-80,000";"Python";"R"
"Malaysia";"I do not wish to disclose my approximate yearly compensation";"";""
"Colombia";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Other";"10-20,000";"Python";"R"
"Singapore";"20-30,000";"Python";"R"
"I do not wish to disclose my location";"30-40,000";"Python";"R"
"China";"0-10,000";"Python";""
"United States of America";"100-125,000";"Python";"R"
"India";"I do not wish to disclose my approximate yearly compensation";"";"R"
"Spain";"";"Python";""
"Other";"20-30,000";"Python";""
"Indonesia";"10-20,000";"Python";"R"
"Thailand";"80-90,000";"Python";""
"I do not wish to disclose my location";"I do not wish to disclose my approximate yearly compensation";"Python";"R"
"Canada";"30-40,000";"Python";""
"Japan";"100-125,000";"Python";""
"Other";"250-300,000";"";"R"
"Japan";"60-70,000";"Python";"R"
"Philippines";"0-10,000";"";""
"I do not wish to disclose my location";"40-50,000";"Python";""
"United States of America";"70-80,000";"Python";"R"
"Germany";"60-70,000";"Python";""
"Poland";"0-10,000";"";"R"
"Switzerland";"90-100,000";"Python";""
"Germany";"50-60,000";"Python";"R"
"Australia";"60-70,000";"Python";"R"
"Japan";"0-10,000";"";""
"United States of America";"90-100,000";"Python";"R"
"Nigeria";"0-10,000";"Python";""
"Indonesia";"0-10,000";"";""
"Singapore";"60-70,000";"Python";"R"
"Other";"0-10,000";"Python";""
"Hong Kong (S.A.R.)";"I do not wish to disclose my approximate yearly compensation";"Python";""
"United States of America";"125-150,000";"Python";"R"
"Japan";"0-10,000";"Python";""
